register_id,user_id,datetime,evidence,latitude,longitude,cep,city,state,neighbourhood,access_difficulty,focus_size,larvae,intensity
26,lucas.costa@gmail.com,2025-07-06T20:00:00,,-27.6007,-48.5196,88040-400,Florianópolis,SC,Trindade,1,9,False,1.0
27,rafael.pereira@gmail.com,2025-07-07T09:30:00,,-27.5012,-48.4375,88050-000,Florianópolis,SC,Ingleses do Rio Vermelho,4,1,False,4.0
28,beatriz.fernandes@gmail.com,2025-07-08T11:15:00,,-27.6389,-48.4333,88060-000,Florianópolis,SC,Barra da Lagoa,7,4,False,7.0
29,joao.santos@gmail.com,2025-07-09T13:40:00,,-27.5915,-48.5836,88070-000,Florianópolis,SC,Estreito,10,2,False,10.0
30,cleber@gmail.com,2025-07-10T15:50:00,,-27.5915,-48.5836,88075-000,Florianópolis,SC,Estreito,2,10,False,2.0
31,ana.silva@gmail.com,2025-07-11T17:05:00,,-27.5935,-48.5585,88015-700,Florianópolis,SC,Centro,5,8,False,5.0
32,carlos.souza@gmail.com,2025-07-12T19:25:00,,-27.5975,-48.5494,88020-001,Florianópolis,SC,Centro,8,5,False,8.0
33,julia.martins@gmail.com,2025-07-13T21:35:00,,-27.5895,-48.5433,88025-200,Florianópolis,SC,Agronômica,3,3,False,3.0
34,marina.oliveira@gmail.com,2025-07-14T08:10:00,,-27.5855,-48.5144,88030-000,Florianópolis,SC,Itacorubi,6,7,False,6.0
35,pedro.silva@gmail.com,2025-07-15T10:20:00,,-27.5943,-48.5036,88035-001,Florianópolis,SC,Santa Mônica,9,6,False,9.0
36,lucas.costa@gmail.com,2025-07-16T12:30:00,,-27.6007,-48.5196,88040-400,Florianópolis,SC,Trindade,1,9,False,1.0
37,rafael.pereira@gmail.com,2025-07-17T14:40:00,,-27.5012,-48.4375,88050-000,Florianópolis,SC,Ingleses do Rio Vermelho,4,1,False,4.0
38,beatriz.fernandes@gmail.com,2025-07-18T16:50:00,,-27.6389,-48.4333,88060-000,Florianópolis,SC,Barra da Lagoa,7,4,False,7.0
39,joao.santos@gmail.com,2025-07-19T18:00:00,,-27.5915,-48.5836,88070-000,Florianópolis,SC,Estreito,10,2,False,10.0
40,cleber@gmail.com,2025-07-20T20:10:00,,-27.5915,-48.5836,88075-000,Florianópolis,SC,Estreito,2,10,False,2.0
41,ana.silva@gmail.com,2025-08-01T09:00:00,,-27.5935,-48.5585,88015-700,Florianópolis,SC,Centro,5,8,False,5.0
42,carlos.souza@gmail.com,2025-08-02T11:10:00,,-27.5975,-48.5494,88020-001,Florianópolis,SC,Centro,8,5,False,8.0
43,julia.martins@gmail.com,2025-08-03T13:20:00,,-27.5895,-48.5433,88025-200,Florianópolis,SC,Agronômica,3,3,False,3.0
44,marina.oliveira@gmail.com,2025-08-04T15:30:00,,-27.5855,-48.5144,88030-000,Florianópolis,SC,Itacorubi,6,7,False,6.0
45,pedro.silva@gmail.com,2025-08-05T17:40:00,,-27.5943,-48.5036,88035-001,Florianópolis,SC,Santa Mônica,9,6,False,9.0
46,lucas.costa@gmail.com,2025-08-06T19:50:00,,-27.6007,-48.5196,88040-400,Florianópolis,SC,Trindade,1,9,False,1.0
47,rafael.pereira@gmail.com,2025-08-07T21:00:00,,-27.5012,-48.4375,88050-000,Florianópolis,SC,Ingleses do Rio Vermelho,4,1,False,4.0
48,beatriz.fernandes@gmail.com,2025-08-08T08:10:00,,-27.6389,-48.4333,88060-000,Florianópolis,SC,Barra da Lagoa,7,4,False,7.0
49,joao.santos@gmail.com,2025-08-09T10:20:00,,-27.5915,-48.5836,88070-000,Florianópolis,SC,Estreito,10,2,False,10.0
50,cleber@gmail.com,2025-08-10T12:30:00,,-27.5915,-48.5836,88075-000,Florianópolis,SC,Estreito,2,10,False,2.0
